date,open,high,low,close,volume,average,barCount
2025-09-26 04:00:00-04:00,256.0,256.19,256.0,256.07,552.0,256.098,5
2025-09-26 04:01:00-04:00,256.17,256.17,256.17,256.17,250.0,256.17,1
2025-09-26 04:02:00-04:00,256.17,256.17,256.17,256.17,0.0,256.17,0
2025-09-26 04:03:00-04:00,256.08,256.29,256.08,256.29,768.0,256.131,5
2025-09-26 04:04:00-04:00,256.29,256.29,256.29,256.29,0.0,256.29,0
2025-09-26 04:05:00-04:00,256.15,256.15,256.15,256.15,510.0,256.15,1
2025-09-26 04:06:00-04:00,256.15,256.15,255.98,256.0,3158.0,256.018,10
2025-09-26 04:07:00-04:00,255.98,255.98,255.98,255.98,200.0,255.98,1
2025-09-26 04:08:00-04:00,255.98,255.98,255.98,255.98,0.0,255.98,0
2025-09-26 04:09:00-04:00,255.98,255.98,255.98,255.98,0.0,255.98,0
2025-09-26 04:10:00-04:00,255.98,255.98,255.98,255.98,0.0,255.98,0
2025-09-26 04:11:00-04:00,255.98,255.98,255.98,255.98,0.0,255.98,0
2025-09-26 04:12:00-04:00,255.98,255.98,255.98,255.98,0.0,255.98,0
2025-09-26 04:13:00-04:00,255.88,255.88,255.86,255.86,200.0,255.87,2
2025-09-26 04:14:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:15:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:16:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:17:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:18:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:19:00-04:00,255.86,255.86,255.86,255.86,0.0,255.86,0
2025-09-26 04:20:00-04:00,255.87,255.87,255.81,255.81,200.0,255.84,2
2025-09-26 04:21:00-04:00,255.81,255.81,255.81,255.81,0.0,255.81,0
2025-09-26 04:22:00-04:00,255.69,255.7,255.69,255.69,760.0,255.695,5
2025-09-26 04:23:00-04:00,255.69,255.69,255.69,255.69,0.0,255.69,0
2025-09-26 04:24:00-04:00,255.69,255.69,255.69,255.69,0.0,255.69,0
2025-09-26 04:25:00-04:00,255.69,255.69,255.69,255.69,0.0,255.69,0
2025-09-26 04:26:00-04:00,255.74,255.74,255.74,255.74,100.0,255.74,1
2025-09-26 04:27:00-04:00,255.74,255.74,255.74,255.74,0.0,255.74,0
2025-09-26 04:28:00-04:00,255.74,255.74,255.74,255.74,0.0,255.74,0
2025-09-26 04:29:00-04:00,255.69,255.69,255.69,255.69,200.0,255.69,2
2025-09-26 04:30:00-04:00,255.69,255.69,255.69,255.69,0.0,255.69,0
2025-09-26 04:31:00-04:00,255.72,255.72,255.63,255.63,500.0,255.688,5
2025-09-26 04:32:00-04:00,255.58,255.58,255.58,255.58,188.0,255.58,1
2025-09-26 04:33:00-04:00,255.58,255.58,255.58,255.58,0.0,255.58,0
2025-09-26 04:34:00-04:00,255.6,255.6,255.6,255.6,150.0,255.6,1
2025-09-26 04:35:00-04:00,255.6,255.6,255.6,255.6,0.0,255.6,0
2025-09-26 04:36:00-04:00,255.6,255.6,255.6,255.6,0.0,255.6,0
2025-09-26 04:37:00-04:00,255.6,255.6,255.6,255.6,0.0,255.6,0
2025-09-26 04:38:00-04:00,255.6,255.6,255.6,255.6,0.0,255.6,0
2025-09-26 04:39:00-04:00,255.62,255.62,255.55,255.55,350.0,255.57,3
2025-09-26 04:40:00-04:00,255.71,255.71,255.66,255.66,317.0,255.676,2
2025-09-26 04:41:00-04:00,255.66,255.66,255.66,255.66,0.0,255.66,0
