Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$11.60,-0.67,-5.46%,44633819.00,United States,,16066,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$43.63,-0.06,-0.137%,165387761.00,United States,1988,13243,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$6.01,0.07,1.178%,645248625.00,United States,,93840,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.8376,-0.0024,-0.286%,9469375.00,United States,,234826,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$8.85,-0.3183,-3.472%,6763515.00,,,3647,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.27,-0.07,-2.096%,12309055.00,United States,,10059,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.72,-0.04,-0.84%,261628897.00,,,57815,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.465,-0.0478,-1.902%,7040967.00,China,,776,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.49,0.0573,2.355%,16060500.00,United States,1988,2515,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$9.37,0.2554,2.802%,7566959.00,,2021,77465,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.75,-0.11,-2.263%,51604010.00,Canada,2000,5940,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.78,0.04,2.299%,20605250.00,,2025,15457,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$6.20,0.16,2.649%,294877902.00,United States,2022,113538,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$6.98,0.10,1.453%,1243138000.00,,2023,627408,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.17,0.23,11.856%,78539849.00,United States,,43768,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$3.50,0.13,3.858%,506682117.00,Canada,,3888902,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.1987,0.0057,2.953%,3099115.00,,2024,2374307,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.44,0.01,0.699%,44922083.00,United States,,118732,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.38,0.04,2.985%,18315015.00,,2022,29246,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.41,-0.02,-0.823%,9397629.00,United States,1998,1800,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$4.94,-0.06,-1.20%,32850269.00,,2024,6111,Consumer Discretionary,Package Goods/Cosmetics
