Symbol,Name
A2D2,A2D Funding II Plc
AA07,FTSE Advanced Emerging
AA18,Barclays Bank Plc
AA4,Amedeo Air Four Plus Lim
AAAP,Anglo African Agricultur
AADV,Albion Development Vct Plc
AAEV,Albion Enterprise Vct Plc
AAF,Airtel Africa Plc
AAIF,Aberdeen Asian Income Fund Ltd
AAL,Anglo American Plc
AAP2,Leverage Shares Public Limited Company
AAPE,Leverage Shares Public Limited Company
AAS,Aberdeen Standard Asia Focus Plc
AASG,Amundi ETF
AASU,Amundi Investment Solutions
AATG,Albion Technology & General Vct Plc
AAU,Ariana Resources Plc
AAVC,Albion Venture Capital Tst Plc
AAZ,Anglo Asian Mining Plc
ABC,Abcam Plc
ABD,Aberdeen New Dawn Investment Trust Plc
ABDN,
ABDP,Ab Dynamics Plc
ABDX,
ABF,Associated British Foods Plc
AC24,FTSE Japan Lms Index
ACC,Access Intelligence Plc
ACDAPR,FTSE Developed Asia Paci
ACDER,FTSE Developed Europe AL
ACDXUSR,FTSE Developed Ex US All
ACIC,
ACID,Acer Incorporated
ACKWTC,FTSE Kuwait All Cap 15% Capped Index
ACKWTCN,FTSE Kuwait All Cap 15% Capped Net Tax I
ACNAN,FTSE North America All C
ACNANCH,FTSE North America All C
ACNANEU,FTSE North America All C
ACNANUK,FTSE North America All C
ACP,Armadale Capital Plc
ACRL,Accrol Group Holdings Plc
ACSO,Accesso Technology Group
ACT,Actual Experience Plc
ACWD,SSGA SPDR ETFS Europe I Plc
ACWI,SSGA SPDR ETFS Europe I Plc
ACWL,Multi Units France
ACWU,Multi Units France
ACXUSS,FTSE Gloabl All Cap Ex U
AD01,FTSE Developed
AD02,FTSE Developed Ex US
AD03,FTSE Developed Ex North
AD04,FTSE Developed Ex UK
AD05,FTSE Developed Ex Japan
AD06,FTSE Developed Europe
AD07,FTSE Developed Europe Ex
AD09,FTSE Dev Lms Ex US Index
AD13,FTSE Dev Europe Lms Inde
AD17,FTSE Dev Lms Ex Na Index
AD20,FTSE Dev Europe Lms Ex U
ADA,Adams Plc
ADF,Advance Focus
ADIG,Aberdeen Diversified Income and Growth T
ADM,Admiral Group Plc
ADME,Adm Energy Plc
ADT,Adept Telecom Plc
ADT1,Adriatic Metals Plc
ADV,Advent Vct
AE01,FTSE Emerging
AEET,
AEG,Active Energy Group Plc
AEI,ACM European Enhanced Income Fund Plc
AEJ,Lyxor International Asse
AEJL,Lyxor International Asse
AEMD,Amundi Index Solutions
AEO,Aeorema Communications Plc
AEP,Anglo-Eastern Plantations Plc
AERI,Aquila European Renewables Income Fund P
AERS,Aquila European Renewables Income Fund P
AET,RESURGE ord gbp0.02
AEWU,Aew UK REIT Plc
AEX,Aminex Plc
AEXK,Amundi Investment Solutions
AFC,Afc Energy Plc
AFM,Alpha Financial Markets Consulting Plc
AFN,Advfn Plc
AFP,
AFX,Alpha FX Group Plc
AG01,FTSE All-Emerging
AG02,FTSE All-Emerging Latin
AG03,FTSE All-Emerging Asia P
AG14,FTSE All-Emer Lms Index
AG15,FTSE All-Emer Latin Amer
AG16,FTSE All-Emer Asia Pacif
AGAP,ETFS Commodity Securities Limited
AGBP,Ishares III Plc
