;This information is provided for information purposes only.  Neither TMX Group Limited nor any of its affiliated companies represents, warrants or guarantees the accuracy or completeness of the information contained in this document ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;and we are not responsible for any errors or omissions in or your use of, or reliance on, the information provided. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;© 2024 TSX Inc. All Rights Reserved. Do not copy, distribute, sell or modify this document without TSX Inc.'s prior written consent.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Number of Issuers;;Total Market Cap (C$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1827;;5 072 609 552 749 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Co_ID;Exchange;Name;"Root
Ticker";" Market Cap (C$)
30-November-2024 ";" O/S Shares
30-November-2024 ";Sector;"Sub
Sector";"HQ
Location";"HQ
Region";Listing Type;Listing Date;Interlisted I;Interlisted II;"Trading 
on OTC";"TSX 
Venture 
Grad";"Former
CPC";S&P/TSX Index;2024 TSX30;Clean Technology Primary Industry;Clean Technology Sub-Sector;"Consumer Products & Services
Sub-Sector";Life Sciences Sub-Sector;Real Estate Sub-Sector ;Technology Sub-Sector ;USA City;Asia Region;Israel Related;Fund Family;SP_Type;SP_Sub;" Volume YTD
30-November-2024 ";" Value (C$) YTD
30-November-2024 ";" Number of 
Trades YTD
30-November-2024 ";" Number of
Months of 
Trading Data "
TWE0003;TSX;2028 Investment Grade Bond Trust;IGBT; 34 377 462 ; 3 274 044 ; Closed-End Funds ;;ON;Canada;IPO;20231221;;;;;;;;;;;;;;;;;Next Edge Capital Corp.;Fund of Debt;FI Trust; 907 450 ; 9 253 157 ; 1 008 ; 11 
IQC0001;TSX;3iQ Bitcoin ETF;BTCQ; 328 512 485 ; 21 598 454 ; ETP ;Blockchain/Cryptocurrency;ON;Canada;IPO;20210419;;;;;;;;;;;;;;;;;3iQ;Exchange Traded Funds;; 7 813 960 ; 103 600 437 ; 21 400 ; 11 
IQC0002;TSX;3iQ Ether Staking ETF;ETHQ; 86 486 222 ; 6 090 579 ; ETP ;Blockchain/Cryptocurrency;ON;Canada;IPO;20210423;;;;;;;;;;;;;;;;;3iQ;Exchange Traded Funds;; 4 196 652 ; 66 072 072 ; 11 727 ; 11 
FIV0003;TSX;5N Plus Inc.;VNP; 577 887 778 ; 89 042 801 ; Clean Technology & Renewable Energy ;;QC;Canada;IPO;20071219;;;;;;;;Industrial Products & Services;Renewable Energy Equipment Manufacturing and Tech;;;;;;;;;;; 24 866 333 ; 138 960 996 ; 70 133 ; 11 
X-1010;TSX;A & W Food Services of Canada Inc.;AW; 886 718 008 ; 23 997 781 ; Consumer Products & Services ;;BC;Canada;Other;20241018;;;;;;;;;;Consumer Discretionary;;;;;;;;;; 986 633 ; 36 501 878 ; 4 951 ; 2 
ABE0005;TSX;Aberdeen International Inc.;AAB; 6 553 228 ; 145 627 282 ; Financial Services ;;ON;Canada;TSXV Grad;20080130;;;;Y;;;;;;;;;;;;;;;; 47 514 813 ; 2 158 489 ; 1 557 ; 11 
FIR0005;TSX;abrdn Asia-Pacific Income Fund VCC;FAP; 102 100 277 ; 36 992 854 ; Closed-End Funds ;;PA;USA;;19860611;;;;;;;;;;;;;;Philadelphia;;;Aberdeen;Fund of Debt;FI Trust; 5 824 680 ; 15 480 947 ; 5 588 ; 11 
ACA0004;TSX;Acadian Timber Corp.;ADN; 313 389 913 ; 17 675 686 ; Industrial Products & Services ;Forest Products & Paper;BC;Canada;IPO;20060130;;;;;;;;;;;;;;;;;;;; 1 339 266 ; 23 253 005 ; 8 576 ; 11 
ACC0007;TSX;Accelerate Absolute Return Fund;HDGE; 39 522 000 ; 1 400 000 ; ETP ;;AB;Canada;IPO;20190510;;;;;;;;;;;;;;;;;Accelerate;Exchange Traded Funds;; 253 422 ; 6 424 820 ; 612 ; 11 
ACC0010;TSX;Accelerate Arbitrage Fund;ARB; 22 933 750 ; 875 000 ; ETP ;;AB;Canada;IPO;20200407;;;;;;;;;;;;;;;;;Accelerate;Exchange Traded Funds;; 292 123 ; 7 631 287 ; 721 ; 11 
ACC0008;TSX;Accelerate Canadian Long Short Equity Fund;ATSX; 2 651 000 ; 100 000 ; ETP ;;AB;Canada;IPO;20190510;;;;;;;;;;;;;;;;;Accelerate;Exchange Traded Funds;; 59 477 ; 1 431 358 ; 126 ; 11 
ACC0013;TSX;Accelerate Diversified Credit Income Fund;INCM; 29 820 500 ; 2 150 000 ; ETP ;;AB;Canada;IPO;20240515;;;;;;;;;;;;;;;;;Accelerate;Exchange Traded Funds;; 1 214 741 ; 22 972 380 ; 772 ; 7 
ACC0011;TSX;Accelerate OneChoice Alternative Portfolio ETF;ONEC; 17 375 200 ; 740 000 ; ETP ;;AB;Canada;IPO;20210127;;;;;;;;;;;;;;;;;Accelerate;Exchange Traded Funds;; 135 078 ; 2 951 424 ; 258 ; 11 
ACC0002;TSX;Accord Financial Corp.;ACD; 54 266 152 ; 8 765 413 ; Financial Services ;;ON;Canada;;19920617;;;;;;;;;;;;;;;;;;;; 629 705 ; 4 680 988 ; 1 736 ; 11 
ACL0001;TSX;Aclara Resources Inc.;ARA; 68 227 781 ; 166 409 223 ; Mining ;;Chile;Latin America;IPO;20211210;;;;;;;;;;;;;;;;;;;; 10 098 916 ; 5 005 107 ; 4 991 ; 11 
CAT0002;TSX;ACT Energy Technologies Ltd.;ACX; 242 052 575 ; 37 527 531 ; Industrial Products & Services ;Energy Services;AB;Canada;;19870925;;;;;;;;;;;;;;;;;;;; 49 506 266 ; 84 194 488 ; 13 054 ; 11 
V-04500;TSX;Adcore Inc.;ADCO; 10 887 411 ; 60 485 619 ; Technology ;;Israel;Other;TSXV Grad;20210304;;;OTCQX;Y;Y;;;;;;;;Internet Software & Services;;;Y;;;; 2 415 995 ; 517 169 ; 1 003 ; 11 
HAR0020;TSX;ADENTRA Inc.;ADEN; 1 030 779 092 ; 25 018 910 ; Industrial Products & Services ;;BC;Canada;IPO;20040322;;;;;;;;;;;;;;;;;;;; 15 120 391 ; 589 264 600 ; 82 887 ; 11 
ADF0001;TSX;ADF Group Inc.;DRX; 157 148 384 ; 17 797 099 ; Industrial Products & Services ;;QC;Canada;;19990720;;;;;;;;;;;;;;;;;;;; 29 620 328 ; 366 708 665 ; 153 669 ; 11 
ADV0011;TSX;Advantage Energy Ltd.;AAV; 1 649 373 837 ; 168 409 593 ; Oil & Gas ;;AB;Canada;;20010529;;;;;;Composite;;;;;;;;;;;;;; 104 560 080 ; 1 047 078 494 ; 485 677 ; 11 
