Co_ID;PO ID;Exchange;Name;" Root
Ticker "; MarketCap ; OutstandingShares ;Sector; Sub-Sector ;"HQ
Location";"HQ
Region";Listing Type;Listing Date;Interlisted;OTC;CPC;CompositeIndex;2024 Venture 50;USA City;Asia Region;Israel Related;Clean Technology Primary Industry;Cleantech Sub-Sector;"Consumer Products & Services
Sub-Sector"; Life Sciences Sub-Sector ; Real Estate Sub-Sector ; Technology Sub-Sector ;Trust; Volume ; Value ; Trades ; MonthsTrading 
V-04204;1171065;TSXV;01 Communique Laboratory Inc.;ONE; 7 709 164 ; 96 364 554 ;Technology;;ON;Canada;TSX Comedown;20140731;;;;;;;;;;;;;; Software ;; 6 316 140 ; 382 944 ; 820 ;11
V-02623;1113792;TSXV;1844 Resources Inc.;EFF; 1 947 765 ; 97 388 258 ;Mining;;SK;Canada;QT from NEX;20120103;;;Y;;;;;;;;;;;;; 8 124 136 ; 146 119 ; 386 ;11
V-04468;1181462;TSXV;1911 Gold Corporation;AUMB; 25 023 739 ; 153 519 874 ;Mining;;BC;Canada;Other;20180725;;;;;;;;;;;;;;;; 44 035 986 ; 5 571 029 ; 6 208 ;11
V-02423;1110620;TSXV;49 North Resources Inc.;FNR; 3 324 766 ; 166 238 310 ;Financial Services;;SK;Canada;Other;20061228;;;;;;;;;;;;;;;; 16 787 720 ; 461 253 ; 413 ;11
V-04954;1186930;TSXV;5D Acquisition Corp.;FIVD.P; 562 900 ; 5 629 000 ;CPC;;BC;Canada;IPO/CPC;20230414;;;Y;;;;;;;;;;;;;;;;
V-00002;11607;TSXV;A.I.S. Resources Limited;AIS; 612 646 ; 20 421 540 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 8 886 627 ; 161 516 ; 449 ;11
V-04889;1186365;TSXV;A2ZCryptocap Inc.;AZC.P; 211 400 ; 6 040 000 ;CPC;;AB;Canada;IPO/CPC;20220623;;;Y;;;;;;;;;;;;; 230 200 ; 17 795 ; 23 ;7
V-04890;1186325;TSXV;AAJ Capital 3 Corp.;AAAJ.P; 903 000 ; 6 450 000 ;CPC;;BC;Canada;IPO/CPC;20220614;;;Y;;;;;;;;;;;;; 127 216 ; 6 611 ; 41 ;11
V-04881;1186495;TSXV;Aardvark 2 Capital Corp.;ACCB.P; 360 000 ; 7 200 000 ;CPC;;ON;Canada;IPO/CPC;20220525;;;Y;;;;;;;;;;;;; 58 034 ; 7 572 ; 27 ;5
V-00015;12060;TSXV;Abacus Mining & Exploration Corporation;AME; 3 727 657 ; 149 106 263 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 5 610 840 ; 156 065 ; 457 ;11
V-04612;1183465;TSXV;Abasca Resources Inc.;ABA; 6 847 542 ; 76 083 797 ;Mining;;SK;Canada;RTO;20230111;;;;;;;;;;;;;;;; 672 882 ; 92 804 ; 140 ;11
V-00017;1074330;TSXV;Abcourt Mines Inc.;ABI; 35 828 991 ; 716 579 825 ;Mining;;QC;Canada;;;;;;;;;;;;;;;;;; 70 791 779 ; 3 524 203 ; 2 412 ;11
V-00450;10787;TSXV;Aben Minerals Ltd.;ABM; 1 216 783 ; 18 719 736 ;Mining;;BC;Canada;;;;;;;;;;;;;;;;;; 2 853 389 ; 233 966 ; 470 ;11
V-01325;1023613;TSXV;AbraSilver Resource Corp.;ABRA; 343 200 104 ; 126 176 509 ;Mining;;BC;Canada;RTO from NEX;20170426;;OTCQX;;Y;;;;;;;;;;;; 117 572 289 ; 104 329 955 ; 64 799 ;11
V-05013;1188085;TSXV;AC/DC Battery Metals Inc.;ACDC; 2 334 827 ; 51 885 044 ;Mining;;BC;Canada;Other;20240627;;;;;;;;;;;;;;;; 1 171 152 ; 76 693 ; 445 ;5
V-01580;1099471;TSXV;Acceleware Ltd.;AXE; 15 397 011 ; 118 438 543 ;Clean Technology & Renewable Energy;Energy Services;AB;Canada;QT;20060119;;;Y;;;;;;Industrial Products & Services;Low Impact Material and Products;;;;;; 3 689 613 ; 449 680 ; 627 ;11
V-02096;1024008;TSXV;Ackroo Inc.;AKR; 14 375 619 ; 115 004 952 ;Technology;;ON;Canada;RTO;20121010;;;Y;;;;;;;;;;; Internet Software & Services ;; 4 788 621 ; 502 652 ; 502 ;11
