Symbol,Name
A1G,African Gold Limited
A1M,Aic Mines Limited
A200,A200
A2B,A2b Australia Limited
A2M,The A2 Milk Company Limited
A2MKOB,The A2 Milk Company Limited
A2MKOF,The A2 Milk Company Limited
A2MKOP,The A2 Milk Company Limited
A2MKOQ,The A2 Milk Company Limited
A2MKOS,The A2 Milk Company Limited
A2MKOV,A2MKOV
A3D,Aurora Labs Limited
A4N,Alpha Hpa Limited
A8G,Australasian Gold Limited
AAA,Betashares Australian High Interest Cash
AAC,Australian Agricultural Company Ltd
AAJ,Aruma Resources Limited
AAP,Australian Agricultural Projects Limited
AAR,Anglo Australian Resources NL
AASF,AASF
AAU,Adcorp Australia Ltd
AAUOB,AAUOB
ABA,Auswide Bank Ltd
ABB,Aussie Broadband Ltd
ABC,Adelaide Brighton Ltd
ABCKOA,Adelaide Brighton Limited
ABCKOB,Adelaide Brighton Limited
ABCKOQ,Adelaide Brighton Limited
ABCKOR,ABCKOR
ABE,Australian Bond Exchange
ABP,Abacus Property Group
ABV,Advanced Braking Technology Ltd
ABX,Abelle Ltd
ABY,Adore Beauty Group Ltd
AC8,Auscann Group Holdings Ltd
ACB,A-Cap Resources Ltd
ACBO,ACBO
ACDC,Etfs Battery Tech & Lithium
ACF,Acumen Capital Property Securities Fund
ACL,Alchemia Ltd
ACP,Audalia Resources Limited
ACQ,Acorn Capital Investment Fund Limited
ACR,Acrux Ltd
ACS,Accent Resources NL
ACU,Acuvax Limited
ACW,Actinogen Ltd
AD1,Applydirect Limited
AD8,Audinate Group Limited
ADA,Adacel Technologies Ltd
ADD,Adavale Resources Ltd
ADEF,ADEF
ADH,Adairs Limited
ADN,Adelaide Resources Ltd
ADO,
ADOOA,Anteo Diagnostics Limited
ADR,Adherium Limited
ADS,ADV Group Ltd
ADT,Advent Ltd
ADV,Australian Development Capital Fund
ADX,Audax Resources Ltd
ADY,Admiralty Resources NL
AE1,Aerison Group Ltd
AEE,Aura Energy Ltd
AEEO,AEEO
AEF,Australian Ethical Investments Ltd
AEG,Absolute Equity Performance Fund Limited
AEI,Aeris Technologies Ltd
AER,Aeeris Ltd
AESG,AESG
AEV,Avenira Limited
AFA,ASF Group Ltd
AFG,Allco Finance Group Ltd
AFI,Australian Foundation Invest Ltd
AFL,Australian Pure Fruits Ltd
AFP,Aft Pharmaceuticals Limited
AFW,Applyflow Limited
AGC,Agincourt Resources Ltd
AGD,Austral Gold Ltd
AGE,Alligator Energy Limited
AGG,Anglogold Ashanti Ltd (Sth Afr CUFS)
AGH,Australian Growth Properties
AGI,Ainsworth Game Technology Ltd
AGL,AGL Energy Limited
AGLKOA,Agl Energy Limited.
AGLKOB,Agl Energy Limited.
AGLKOD,Agl Energy Limited.
AGLKOP,Agl Energy Limited.
AGLKOQ,Agl Energy Limited.
AGLKOR,Agl Energy Limited.
AGN,Argenica Therapeutics Limited
AGR,Aguia Resources Limited
AGRO,AGRO
AGVT,AGVT
AGX1,AGX1
AGY,Argosy Minerals Inc (CUFS)
AHC,AHC Ltd
AHF,Australian Dairy Farms Group
AHI,Allco Hit Ltd
AHK,Ark Mines Limited
AHN,Athena Resources Ltd
AHQ,Allegiance Coal Limited
AHX,Apiam Animal Health Limited
AIA,Auckland International Airport Ltd
AIB,Aurora Infrastructure Buy Write Income
AII,ABRA Mining Ltd
AIM,Aim Resources Ltd
AIQ,Alternative Investment Trust
AIS,Automotive Industrial & Mining Supplies
AIV,Activex Ltd
AIVO,Activex Limited
AIZ,Air New Zealand Ltd
AJJ,Asian Centre For Liver Diseases And
AJL,AJ Lucas Group Ltd
AJQ,Armour Energy Limited
AJQOA,AJQOA
AJX,Alexium International Group Limited
AJY,Asaplus Resources Limited
AKE,Allkem Limited
AKG,AKG
AKL,Auckland Real Estate Trust
AKM,Aspire Mining Limited
AKN,Auking Mining Limited
AKNO,AKNO
AKO,Akora Resources Limited
AKP,Audio Pixels Holdings Limited
AL3,Aml3d Limited
AL8,Alderan Resources Limited
ALA,Applabs Technologies Ltd
ALB,Albidon Ltd
ALBO,ALBO
ALC,Alcidion Group Limited
ALD,Allied Gold Ltd
ALDKOA,ALDKOA
ALDKOB,ALDKOB
ALDKOC,ALDKOC
ALDKOP,ALDKOP
ALDKOQ,Ampol Limited
ALDKOS,ALDKOS
ALG,Applied Learning Ltd t/over
ALGKOP,ALGKOP
ALGKOR,Ardent Leisure Group Limited
ALI,Argo Global Listed
ALK,Alkane Exploration Ltd
ALL,Aristocrat Leisure Ltd
ALLKOA,Aristocrat Leisure Limited
ALLKOB,Aristocrat Leisure Limited
ALLKOE,Aristocrat Leisure Limited
ALLKOG,Aristocrat Leisure Limited
ALLKOP,Aristocrat Leisure Limited
ALLKOR,Aristocrat Leisure Limited
ALLKOT,Aristocrat Leisure Limited
ALM,Australis Media Ltd broke
ALO,Auto Group Ltd
ALQ,Als Limited
ALQKOA,Als Limited
ALQKOD,Als Limited
ALQKOE,Als Limited
ALQKOF,Als Limited
ALQKOP,Als Limited
ALQKOQ,Als Limited
ALQKOR,Als Limited
ALQKOS,Als Limited
ALT,Analytica Ltd
ALTOB,ALTOB
ALU,Altium Ltd
ALUKOA,Altium Limited
ALUKOB,Altium Limited
ALV,Alvo Minerals Limited
ALX,Allstate Explorations NL
ALXKOB,Atlas Arteria
ALXKOQ,Atlas Arteria
ALXKOR,Atlas Arteria
ALXKOS,Atlas Arteria
ALY,Alchemy Resources Ltd
AM7,Arcadia Minerals Limited
AMA,Allomak Ltd
AMC,Amcor Ltd
AMCKOA,Amcor Limited
AMCKOB,Amcor Limited
AMCKOG,Amcor Plc
AMCKOP,Amcor Limited
AMCKOS,Amcor Limited
AMD,Arrow Minerals Ltd
AME,Austmet Resources Ltd
AMH,AMCIL Ltd
AMI,Aurelia Metals Limited
AML,AMRAD Corporation Ltd
AMM,Amcom Telecommunications Ltd
AMN,Agrimin Limited
AMO,Ambertech Ltd
AMP,AMP Ltd
AMPKOA,Amp Limited
AMPKOC,Amp Limited
AMPKOD,Amp Limited
AMPKOG,Amp Limited
AMPKOR,Amp Limited
AMPKOS,Amp Limited
AMPKOT,Amp Limited
AMPKOV,Amp Limited
AMPLOA,Amp Limited
AMPPB,Amp Limited
AMS,Allied Mining & Processing Nl
AMT,Advanced Surgical Design & Manufacture
AMX,Ampella Mining Ltd
AN1,Anagenics Limited
AN1OA,AN1OA
AND,Andean Resources Ltd
ANG,Austin Engineering Ltd
ANL,Anaconda Nickel Nl
ANLOA,ANLOA
ANN,Ansell Ltd
ANNKOA,Ansell Limited
ANNKOP,Ansell Limited
ANNKOQ,Ansell Limited
ANO,Advanced Nanotechnology Ltd
ANP,Antisense Therapeutics Ltd
ANR,Anatara Lifesciences Ltd
ANW,Ausnico Limited
ANX,Anadis Ltd
ANZ,Australia & NZ Banking Group Ltd
ANZKOA,Australia And New Zealand Banking
ANZKOE,Australia And New Zealand Banking
ANZKOI,Australia And New Zealand Banking
ANZKOP,Australia And New Zealand Banking
ANZKOQ,Australia And New Zealand Banking
ANZKOR,Australia And New Zealand Banking
ANZKOX,Australia And New Zealand Banking
ANZMOB,Australia And New Zealand Banking
ANZMOQ,Australia And New Zealand Banking
ANZMOR,Australia And New Zealand Banking
ANZMOS,Australia And New Zealand Banking
ANZMOT,Australia And New Zealand Banking
ANZMOU,ANZMOU
ANZPF,Australia And New Zealand Banking
ANZPG,Australia And New Zealand Banking
ANZPH,Australia And New Zealand Banking
ANZPI,ANZPI
ANZPJ,ANZPJ
AO1,Assetowl Limited
AOA,
AOF,AMP Office Trust
AON,Apollo Minerals Ltd
AOU,Auroch Minerals Nl
APA,Australian Pipeline Trust
APAKOA,Apa Group
APAKOE,APAKOE
APAKOQ,Apa Group
APAKOR,Apa Group
APC,Australian Potash Limited
APE,AP Eagers Holdings Ltd
APG,Austpac Gold Resources NL
APM,Australian Institute of Prop Managmnt
APS,Allup Silica Limited
APW,Aims Property Securities Fund
APX,Appen Limited
APXKOA,Appen Limited
APZ,Aspen Group
AQC,Australian Pacific Coal Limited
AQCR,Australian Pacific Coal Limited
AQD,AusQuest Ltd
AQI,Alicanto Minerals Limited
AQLT,AQLT
AQN,Aquirian Limited
AQS,Aquis Entertainment Limited
AQX,Alice Queen Limited
AQXO,Alice Queen Limited
AQZ,Alliance Aviation Services Limited
AR1,Arrowhead Resources Limited
AR3,Australian Rare Earths Limited
AR9,Archtis Limited
AR9O,AR9O
ARA,Ariadne Australia Ltd
ARB,Arb Corporation Limited.
ARBKOB,Arb Corporation Limited.
ARBKOP,ARBKOP
ARC,Amalg Resources Nl
ARD,Argent Minerials Lts
ARE,Argonaut Resources NL
ARF,Arena Reit
ARG,Argo Investments Ltd
ARL,Austrim
ARN,Arnotts Ltd t/over Campbell Soup Co
ARNO,ARNO
ARO,Astro Diamond Mines NL
ARR,Arasor International Ltd
ART,Amp Shopping Centre ord unit
ARU,Arafura Resources NL
ARUO,ARUO
ARV,Artemis Resources Ltd
ARX,Austindo Resources Corporation NL
AS2,Askari Metals Limited
AS2O,AS2O
ASB,Austal Ltd
ASG,Autosports Group Limited.
ASH,Ashley Services Group Limited
ASIA,Betashares Asia Technology Tigers
ASM,Australian Strategic Materials Limited
ASN,Anson Resources Limited
ASNOC,ASNOC
ASNOD,ASNOD
ASO,Australian Silicon Ltd
ASP,Aspermont Ltd
ASQ,Asset Loans Ltd
ASR,Australian Rural Group Ltd
ASROB,Asra Minerals Limited
ASW,Advanced Share Registry Ltd
ASX,Australian Stock Exchange Ltd
ASXKOA,Asx Limited
ASXKOE,Asx Limited
ASXKOP,Asx Limited
ASXKOR,Asx Limited
AT1,Atomo Diagnostics Limited
ATA,Atc Alloys Ltd
ATC,Advantage Telecommunications Ltd
ATEC,ATEC
ATH,Atech Holdings Ltd
ATL,Auto Enterprises Ltd
ATM,Aneka Tambang (Persero) Tbk (Indo)
ATP,Atlas Pacific Ltd
ATR,Astron Ltd
ATS,Australis Oil & Gas Limited
ATU,Atrum Coal Nl
ATV,Atlantic Gold NL
ATX,Austminex Ltd
ATXO,ATXO
AU1,Ausnet Financial Services Limited
AUA,Australian Assets Corporation
AUB,Austbrokers Holdings Ltd
AUC,Ausgold Limited
AUE,Aurum Resources Limited
AUH,Australian Healthcare Technology Ltd
AUHO,AUHO
AUI,Australian United Investment Ltd
AUK,Augur Resources Ltd
AUKO,Augur Resources Ltd
AUKOA,Aumake Limited.
AUMF,Ishares Edge Msci Australia Multifactor
AUN,Austar United Communications Ltd
AUNO,Aurumin Limited
AUQ,Alara Uranium Ltd
AUR,Auris Minerals Limited
AURO,AURO
AUST,Betashares Managed Risk Australian Share
AUT,Aurora Oil & Gas Ltd
AUZ,Australian Mines Ltd
AV1,Adveritas Limited
AVA,Aviva Corporation Ltd
AVC,Australian Visual Communications
AVD,Advance Energy Ltd
AVE,Aevum Ltd
AVEO,AVEO
AVG,Australian Vintage Ltd t/over by SWS
AVH,Avita Medical Ltd
AVJ,AV Jennings Homes Ltd
AVL,Anvil Mining Nl
AVLOA,AVLOA
AVM,Anvil Mining Ltd (Canada CUFS)
AVR,Avatar Industries Ltd
AVW,Avira Energy Limited
AVWOA,Avira Resources Ltd
AVZ,Avonlea Minerals Ltd
AW1,American West Metals Limited
AWC,Alumina Ltd
AWCKOB,Alumina Limited
AWCKOC,Alumina Limited
AWCKOD,Alumina Limited
AWCKOJ,Alumina Limited
AWCKOP,Alumina Limited
AWCKOQ,Alumina Limited
AWCKOR,Alumina Limited
AWCKOT,Alumina Limited
AWCKOU,Alumina Limited
AWCKOX,Alumina Limited
AWJ,Auric Mining Limited
AWJO,AWJO
AWV,Anova Metals Limited
AX1,Accent Group Limited
AX8,Accelerate Resources Limited
AXE,Archer Exploration Ltd
AXI,Axiom Properties Ltd
AXP,Airxpanders Inc
AYA,Attila Resources Limited
AYI,A1 Investments & Resources Ltd
AYM,Altius Mining Limited
AYT,Adelaide Managed Funds Asset Trust
AYUHC,Australian Unity Limited
AYUHD,Australian Unity Limited
AYUPA,AYUPA
AZI,Alta Zinc Limited
AZJ,Aurizon Holdings Limited
AZJKOA,Aurizon Holdings Limited
AZJKOB,Aurizon Holdings Limited
AZJKOC,Aurizon Holdings Limited
AZJKOD,Aurizon Holdings Limited
AZJKOP,Aurizon Holdings Limited
AZJKOS,Aurizon Holdings Limited
AZJKOT,Aurizon Holdings Limited
AZL,Anzoil Nl
AZLO,AZLO
AZLOA,Arizona Lithium Limited
AZS,Azure Minerals Ltd
AZY,Antipa Minerals Limited
B4P,Beforepay Group Limited
BAP,Burson Group Limited
BAPKOB,Bapcor Limited
BAPKOR,Bapcor Limited
BAS,Bass Strait Oil Company Ltd
BASO,Bass Strait Oil Company Limited
BAT,Battery Minerals Limited
BATO,Battery Minerals Limited
BBC,Babcock & Brown Communities Group
BBL,Brisbane Broncos Ltd
BBN,Baby Bunting Group Limited
BBOZ,Betashares Australian Equities Strong
BBT,Bluebet Holdings Ltd
BBUS,Betashares U.s. Equities Strong Bear
BBX,BBX Holdings Ltd
BBXOA,Bbx Minerals Limited
BC8,Black Cat Syndicate Limited
BCA,Baycorp Advantage Ltd
BCB,Bowen Coking Coal Limited
BCC,Buccaneer Energy Ltd
BCI,BC Iron Ltd
BCK,Brockman Mining Limited
BCN,Beacon Minerals Ltd
BCT,Bluechiip Limited
BDG,Bendigo Mining Ltd
BDM,Biodiem Ltd
BDT,Birddog Technology Limited
BDX,Bcal Diagnostics Limited
BEAR,Betashares Australian Equities Bear
BEE,Broo Ltd
BEEO,BEEO
BEL,Bentley International Ltd
BEM,Blackearth Minerals Nl
BEN,Bendigo Bank Ltd
BENKOB,Bendigo And Adelaide Bank Limited
BENKOC,Bendigo And Adelaide Bank Limited
BENKOD,Bendigo And Adelaide Bank Limited
BENKOQ,Bendigo And Adelaide Bank Limited
BENKOT,Bendigo And Adelaide Bank Limited
BENPG,Bendigo And Adelaide Bank Limited
BENPH,BENPH
BET,Belmont Holdings Ltd
BEX,Bikeexchange Limited
BEZ,Besra Gold Inc
BFC,Beston Global Food Company Limited
BFG,Bell Financial Group Ltd
BFL,Bsp Financial Group Limited
BGA,Bega Cheese Limited
BGD,Boulder Steel Ltd
BGL,Bigair Group Ltd
BGP,Briscoe Group Australasia Limited
BGT,Bio-gene Technology Ltd
BHD,Benjamin Hornigold Limited
BHP,BHP Billiton Ltd
BHPKOC,Bhp Billiton Limited
BHPKOG,Bhp Billiton Limited
BHPKOH,Bhp Billiton Limited
BHPKOO,Bhp Billiton Limited
BHPKOR,Bhp Billiton Limited
BHPKOS,Bhp Billiton Limited
BHPKOT,Bhp Billiton Limited
BHPKOW,Bhp Billiton Limited
BHPKOZ,Bhp Billiton Limited
BHPMOP,Bhp Billiton Limited
BHYB,BHYB
BID,Bidenergy Limited
BILL,Ishares Core Cash
BIM,Bindi Metals Limited
BIO,Biome Australia Limited
