Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
AAA,First Priority Clo Bond ETF,,,ETF,,,,PCX,Listed Funds Trust AAF First Pr,AXS First Priority CLO Bond ETF,us_market,AXS,,AAA,AMEX
AAAU,GS Physical Gold ETF,,,ETF,,,,BTS,Goldman Sachs Physical Gold ETF,Goldman Sachs Physical Gold ETF,us_market,Goldman Sachs,,AAAU,AMEX
AAMC,Altisource Asset Management Corp Com,Financial Services,Asset Management,EQUITY,,https://www.altisourceamc.com,https://logo.clearbit.com/altisourceamc.com,ASE,Altisource Asset Management Cor,Altisource Asset Management Corporation,us_market,,29662542,AAMC,AMEX
AAU,Almaden Minerals,Basic Materials,Gold,EQUITY,,https://www.almadenminerals.com,https://logo.clearbit.com/almadenminerals.com,ASE,"Almaden Minerals, Ltd.",Almaden Minerals Ltd.,us_market,,27964826,AAU,AMEX
ABEQ,Absolute Core Strategy ETF,,,ETF,,,,PCX,Absolute Select Value ETF,Absolute Select Value ETF,us_market,Absolute Investment Advisers,,ABEQ,AMEX
ACES,Alps Clean Energy ETF,,,ETF,,,,PCX,ALPS Clean Energy ETF,ALPS Clean Energy ETF,us_market,ALPS,,ACES,AMEX
ACIO,Aptus Collared Income Opportunity ETF,,,ETF,,,,BTS,ETF Series Solutions Aptus Coll,Aptus Collared Income Opportunity ETF,us_market,Aptus Capital Advisors,,ACIO,AMEX
ACSI,American Customer Satisfaction Core,,,ETF,,,,BTS,American Customer Satisfaction ,American Customer Satisfaction ETF,us_market,Exponential ETFs,,ACSI,AMEX
ACTV,Leadershares Activist Leaders ETF,,,ETF,,,,PCX,LeaderShares Activist Leaders E,LeaderShares Activist Leaders ETF,us_market,LeaderShares,,ACTV,AMEX
ACU,Acme United Corp,Consumer Defensive,Household & Personal Products,EQUITY,,https://www.acmeunited.com,https://logo.clearbit.com/acmeunited.com,ASE,Acme,Acme United Corporation,us_market,,86186600,ACU,AMEX
ACVF,American Conservative Values ETF,,,ETF,,,,PCX,American Conservative Values ET,American Conservative Values ETF,us_market,ACV ETFs,,ACVF,AMEX
ACWF,Global Multifactor Ishares Edge MSCI ETF,,,ETF,,,,PCX,iShares MSCI Global Multifactor,iShares MSCI Global Multifactor ETF,us_market,iShares,,ACWF,AMEX
ACWV,Global Min Vol Ishares Edge MSCI ETF,,,ETF,,,,BTS,iShares MSCI Global Min Vol Fac,iShares MSCI Global Min Vol Factor ETF,us_market,iShares,,ACWV,AMEX
ADFI,Anfield Dynamic Fixed Income ETF,,,ETF,,,,BTS,Anfield Dynamic Fixed Income ET,Anfield Dynamic Fixed Income ETF,us_market,Anfield,,ADFI,AMEX
ADIV,Smartetfs Asia Pacific Dividend Builder,,,ETF,,,,PCX,SmartETFs Asia Pacific Dividend,SmartETFs Asia Pacific Dividend Builder ETF,us_market,SmartETFs,,ADIV,AMEX
ADME,Aptus Drawdown Managed Equity ETF,,,ETF,,,,BTS,Aptus Drawdown Managed Equity E,Aptus Drawdown Managed Equity ETF,us_market,Aptus Capital Advisors,,ADME,AMEX
ADR.S,Ault Disruptive Technologies Corp,,,,,,,,,,,,,ADR.S,AMEX
ADR.T,Ault Disruptive Technologies Corp WT,,,,,,,,,,,,,ADR.T,AMEX
ADR.U,Adara Acquisition Corp [Adra.U],,,,,,,,,,,,,ADR.U,AMEX
ADR.W,Adara Acquisition Corp WT [Adra/W],,,,,,,,,,,,,ADR.W,AMEX
ADRA,Adara Acquisition Corp Cl A,Financial Services,Shell Companies,EQUITY,,https://www.adaraspac.com,https://logo.clearbit.com/adaraspac.com,ASE,Adara Acquisition Corp.,Adara Acquisition Corp.,us_market,,142887488,ADRA,AMEX
ADRT,Ault Disruptive Technologies Corp,Financial Services,Shell Companies,EQUITY,,,,ASE,Ault Disruptive Technologies Co,Ault Disruptive Technologies Corporation,us_market,,144612512,ADRT,AMEX
AE,Adams Resources & Energy,Energy,Oil & Gas Refining & Marketing,EQUITY,,https://www.adamsresources.com,https://logo.clearbit.com/adamsresources.com,ASE,"Adams Resources & Energy, Inc.","Adams Resources & Energy, Inc.",us_market,,124344288,AE,AMEX
AEF,Abrdn EM Equity Income Fund Inc,Financial Services,Asset Management,EQUITY,,https://www.aberdeench.com,https://logo.clearbit.com/aberdeench.com,NYQ,27762,Abrdn Emerging Markets Equity Income Fund Inc,us_market,,237518416,AEF,AMEX
AEMB,American Century Emerging Markets Bond,,,ETF,,,,PCX,American Century Emerging Marke,American Century Emerging Markets Bond ETF,us_market,American Century Investments,,AEMB,AMEX
AESR,Anfield U.S. Equity Sector Rotation ETF,,,ETF,,,,BTS,Anfield U.S. Equity Sector Rota,Anfield U.S. Equity Sector Rotation ETF,us_market,Anfield,,AESR,AMEX
AFIF,Anfield Universal Fixed Income ETF,,,ETF,,,,BTS,Anfield Universal Fixed Income ,Anfield Universal Fixed Income ETF,us_market,Regents Park Funds,,AFIF,AMEX
AFK,Vaneck Africa Index ETF,,,ETF,,,,PCX,VanEck Africa Index ETF,VanEck Africa Index ETF,us_market,VanEck,,AFK,AMEX
AFLG,FT Active Factor Large Cap ETF,,,ETF,,,,PCX,First Trust Active Factor Large,First Trust Active Factor Large Cap ETF,us_market,First Trust,,AFLG,AMEX
AFMC,FT Active Factor Mid Cap ETF,,,ETF,,,,PCX,First Trust Active Factor Mid C,First Trust Active Factor Mid Cap ETF,us_market,First Trust,,AFMC,AMEX
AFSM,FT Active Factor Small Cap ETF,,,ETF,,,,PCX,First Trust Active Factor Small,First Trust Active Factor Small Cap ETF,us_market,First Trust,,AFSM,AMEX
AFTY,CSOP FTSE China A50 ETF,,,ETF,,,,PCX,Pacer CSOP FTSE China A50 ETF,Pacer CSOP FTSE China A50 ETF,us_market,Pacer,,AFTY,AMEX
