Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
A11,Atlantic Lithium Limited,,,,,,,,,,,,,A11.AX,ASX
A1G,African Gold Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.african-gold.com,https://logo.clearbit.com/african-gold.com,ASX,AFR GOLD FPO,African Gold Limited,au_market,,9672210,A1G.AX,ASX
A1M,Aic Mines Limited,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.aicmines.com.au,https://logo.clearbit.com/aicmines.com.au,ASX,A1MINESLTD FPO,AIC Mines Limited,au_market,,154581072,A1M.AX,ASX
A200,A200,,,ETF,,,,ASX,BETAAUS200 ETF UNITS,BetaShares Australia 200 ETF,au_market,BetaShares Capital Ltd,,A200.AX,ASX
A2B,A2b Australia Limited,Technology,Software—Infrastructure,EQUITY,,https://www.a2baustralia.com,https://logo.clearbit.com/a2baustralia.com,ASX,A2B AUST FPO,A2B Australia Limited,au_market,,140627952,A2B.AX,ASX
A2M,The A2 Milk Company Limited,Consumer Defensive,Farm Products,EQUITY,,https://www.thea2milkcompany.com,https://logo.clearbit.com/thea2milkcompany.com,ASX,A2 MILK FPO NZ,The a2 Milk Company Limited,au_market,,3963691776,A2M.AX,ASX
A2MKOB,The A2 Milk Company Limited,,,,,,,,,,,,,A2MKOB.AX,ASX
A2MKOF,The A2 Milk Company Limited,,,,,,,,,,,,,A2MKOF.AX,ASX
A2MKOP,The A2 Milk Company Limited,,,,,,,,,,,,,A2MKOP.AX,ASX
A2MKOQ,The A2 Milk Company Limited,,,,,,,,,,,,,A2MKOQ.AX,ASX
A2MKOS,The A2 Milk Company Limited,,,,,,,,,,,,,A2MKOS.AX,ASX
A2MKOV,A2MKOV,,,,,,,,,,,,,A2MKOV.AX,ASX
A3D,Aurora Labs Limited,Industrials,Specialty Industrial Machinery,EQUITY,,https://www.auroralabs3d.com,https://logo.clearbit.com/auroralabs3d.com,ASX,AURORALABS FPO,Aurora Labs Limited,au_market,,6629687,A3D.AX,ASX
A4N,Alpha Hpa Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://alphahpa.com.au,https://logo.clearbit.com/alphahpa.com.au,ASX,ALPHA HPA FPO,Alpha HPA Limited,au_market,,341139520,A4N.AX,ASX
