Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
A2D2,A2D Funding II Plc,,,,,,,,,,,,,A2D2.L,LSE
AA07,FTSE Advanced Emerging,,,,,,,,,,,,,AA07.L,LSE
AA4,Amedeo Air Four Plus Lim,Industrials,Rental & Leasing Services,EQUITY,,https://www.aa4plus.com,https://logo.clearbit.com/aa4plus.com,LSE,AMEDEO AIR FOUR PLUS LIMITED RE,Amedeo Air Four Plus Limited,gb_market,,116349848,AA4.L,LSE
AAAP,Anglo African Agricultur,Consumer Defensive,Farm Products,EQUITY,,https://www.aaaplc.com,https://logo.clearbit.com/aaaplc.com,LSE,ANGLO AFRICAN AGRICULTURE PLC O,Anglo African Agriculture Plc,gb_market,,713898,AAAP.L,LSE
AADV,Albion Development Vct Plc,Financial Services,Asset Management,EQUITY,,https://www.albion.capital/investor-centre/our-funds/albion-development-vct-plc,https://logo.clearbit.com/albion.capital,LSE,ALBION DEVELOPMENT VCT PLC ORD ,Albion Development VCT PLC,gb_market,,89436864,AADV.L,LSE
AAEV,Albion Enterprise Vct Plc,Financial Services,Asset Management,EQUITY,,https://www.albion.capital/investor-centre/our-funds/albion-enterprise-vct-plc,https://logo.clearbit.com/albion.capital,LSE,ALBION ENTERPRISE VCT PLC ORD 1,Albion Enterprise VCT PLC,gb_market,,89470168,AAEV.L,LSE
AAF,Airtel Africa Plc,Communication Services,Telecom Services,EQUITY,,https://airtel.africa,https://logo.clearbit.com/airtel.africa,LSE,AIRTEL AFRICA PLC ORD USD0.50,Airtel Africa Plc,gb_market,,5212553728,AAF.L,LSE
AAIF,Aberdeen Asian Income Fund Ltd,Financial Services,Asset Management,EQUITY,,https://www.asian-income.co.uk/itasianincomefund/,https://logo.clearbit.com/asian-income.co.uk,LSE,ABRDN ASIAN INCOME FUND LIMITED,abrdn Asian Income Fund Limited,gb_market,,372283072,AAIF.L,LSE
AAL,Anglo American Plc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.angloamerican.com,https://logo.clearbit.com/angloamerican.com,LSE,ANGLO AMERICAN PLC ORD USD0.549,Anglo American plc,gb_market,,34935070720,AAL.L,LSE
AAP2,Leverage Shares Public Limited Company,,,EQUITY,,,,LSE,LEVERAGE SHARES PUBLIC LIMITED ,Leverage Shares 2x Apple ETC A,gb_market,,,AAP2.L,LSE
AAPE,Leverage Shares Public Limited Company,,,EQUITY,,,,LSE,LEVERAGE SHARES PUBLIC LIMITED ,Leverage Shares 2x Apple ETC A,gb_market,,,AAPE.L,LSE
