Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
AACG,Ata Creativity Global ADR,Consumer Defensive,Education & Training Services,EQUITY,,https://www.atai.net.cn,https://logo.clearbit.com/atai.net.cn,NGM,ATA Creativity Global,ATA Creativity Global,us_market,,54823572,AACG,NASDAQ
AACI,Armada Acquisition Corp I,Financial Services,Shell Companies,EQUITY,,,,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,us_market,,205231136,AACI,NASDAQ
AACIU,Armada Acquisition Corp I,Financial Services,Shell Companies,EQUITY,,,,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,us_market,,,AACIU,NASDAQ
AACIW,Armada Acquisition Corp I WT,,,EQUITY,,,,NGM,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I,us_market,,,AACIW,NASDAQ
AADI,Aadi Biosciences Inc,Healthcare,Biotechnology,EQUITY,,https://aadibio.com,https://logo.clearbit.com/aadibio.com,NCM,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",us_market,,279103104,AADI,NASDAQ
AADR,Advisorshares Dorsey Wright ETF,,,ETF,,,,NGM,AdvisorShares Dorsey Wright,AdvisorShares Dorsey Wright ADR ETF,us_market,AdvisorShares,,AADR,NASDAQ
AAL,American Airlines Gp,Industrials,Airlines,EQUITY,,https://www.aa.com,https://logo.clearbit.com/aa.com,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,us_market,,7934619648,AAL,NASDAQ
AAME,Atlantic Amer Cp,Financial Services,Insurance—Life,EQUITY,,https://www.atlam.com,https://logo.clearbit.com/atlam.com,NGM,Atlantic American Corporation,Atlantic American Corporation,us_market,,60175576,AAME,NASDAQ
AAOI,Applied Optoelect,Technology,Semiconductors,EQUITY,,https://www.ao-inc.com,https://logo.clearbit.com/ao-inc.com,NGM,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",us_market,,79465976,AAOI,NASDAQ
AAON,Aaon Inc,Industrials,Building Products & Equipment,EQUITY,,https://www.aaon.com,https://logo.clearbit.com/aaon.com,NMS,"AAON, Inc.","AAON, Inc.",us_market,,2874285568,AAON,NASDAQ
AAPB,Graniteshares 1.75X Long Aapl Daily ETF,,,ETF,,,,NGM,GraniteShares 1.75x Long AAPL D,GraniteShares ETF Trust - GraniteShares 2x Long Tilray Daily ETF,us_market,,,AAPB,NASDAQ
AAPD,Direxion Daily Aapl Bear 1X Shares,,,ETF,,,,NGM,Direxion Daily AAPL Bear 1X Sha,Direxion Daily AAPL Bear 1X Shares,us_market,Direxion Funds,,AAPD,NASDAQ
AAPL,Apple Inc,Technology,Consumer Electronics,EQUITY,,https://www.apple.com,https://logo.clearbit.com/apple.com,NMS,Apple Inc.,Apple Inc.,us_market,,2417530503168,AAPL,NASDAQ
AAPU,Direxion Daily Aapl Bull 1.5X Shares,,,ETF,,,,NGM,Direxion Daily AAPL Bull 1.5X S,Direxion Daily AAPL Bull 1.5X Shares,us_market,Direxion Funds,,AAPU,NASDAQ
AATC,Autoscope Technologies Corp,Technology,Scientific & Technical Instruments,EQUITY,,https://www.autoscope.com,https://logo.clearbit.com/autoscope.com,NCM,Autoscope Technologies Corporat,Autoscope Technologies Corporation,us_market,,25520014,AATC,NASDAQ
AAWW,Atlas Air Ww,Industrials,Airports & Air Services,EQUITY,,https://www.atlasairworldwide.com,https://logo.clearbit.com/atlasairworldwide.com,NMS,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",us_market,,2772342784,AAWW,NASDAQ
AAXJ,All Country Asia Ex Japan Ishares MSCI,,,ETF,,,,NGM,iShares MSCI All Country Asia e,iShares MSCI All Country Asia ex Japan ETF,us_market,iShares,,AAXJ,NASDAQ
ABCB,Ameris Bancorp,Financial Services,Banks—Regional,EQUITY,,https://www.amerisbank.com,https://logo.clearbit.com/amerisbank.com,NMS,Ameris Bancorp,Ameris Bancorp,us_market,,3230793472,ABCB,NASDAQ
ABCL,Abcellera Biologics Inc,Healthcare,Biotechnology,EQUITY,,https://www.abcellera.com,https://logo.clearbit.com/abcellera.com,NMS,AbCellera Biologics Inc.,AbCellera Biologics Inc.,us_market,,2623278848,ABCL,NASDAQ
ABCM,Abcam Plc ADR,Healthcare,Biotechnology,EQUITY,,https://www.abcam.com,https://logo.clearbit.com/abcam.com,NMS,Abcam plc,Abcam plc,us_market,,3483900416,ABCM,NASDAQ
ABEO,Abeona Therapeutics,Healthcare,Biotechnology,EQUITY,,https://www.abeonatherapeutics.com,https://logo.clearbit.com/abeonatherapeutics.com,NCM,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,us_market,,18029652,ABEO,NASDAQ
ABGI,Abg Acquisition Corp I Cl A,Financial Services,Shell Companies,EQUITY,,https://abgacquisitioncorpi.com/en,https://logo.clearbit.com/abgacquisitioncorpi.com,NCM,ABG Acquisition Corp. I,ABG Acquisition Corp. I,us_market,,191199424,ABGI,NASDAQ
ABIO,Arca Biopharma Inc,Healthcare,Biotechnology,EQUITY,,https://www.arcabio.com,https://logo.clearbit.com/arcabio.com,NCM,"ARCA biopharma, Inc.","ARCA biopharma, Inc.",us_market,,30693514,ABIO,NASDAQ
ABMD,Abiomed Inc,Healthcare,Medical Devices,EQUITY,,https://www.abiomed.com,https://logo.clearbit.com/abiomed.com,NMS,"ABIOMED, Inc.","Abiomed, Inc.",us_market,,11162014720,ABMD,NASDAQ
ABNB,Airbnb Inc Cl A,Consumer Cyclical,Travel Services,EQUITY,,https://www.airbnb.com,https://logo.clearbit.com/airbnb.com,NMS,"Airbnb, Inc.","Airbnb, Inc.",us_market,,65069023232,ABNB,NASDAQ
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,EQUITY,,https://acumenpharm.com,https://logo.clearbit.com/acumenpharm.com,NMS,"Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals, Inc.",us_market,,187529360,ABOS,NASDAQ
ABSI,Absci Corp,Healthcare,Biotechnology,EQUITY,,https://www.absci.com,https://logo.clearbit.com/absci.com,NMS,Absci Corporation,Absci Corporation,us_market,,288743296,ABSI,NASDAQ
ABST,Absolute Software Cp,Technology,Software—Application,EQUITY,,https://www.absolute.com,https://logo.clearbit.com/absolute.com,NMS,Absolute Software Corporation,Absolute Software Corporation,us_market,,551223424,ABST,NASDAQ
ABTX,Allegiance Banc CS,Financial Services,Banks—Regional,EQUITY,,https://www.allegiancebank.com,https://logo.clearbit.com/allegiancebank.com,NGM,"Allegiance Bancshares, Inc.","Allegiance Bancshares, Inc.",us_market,,876252800,ABTX,NASDAQ
ABUS,Arbutus Biopharma Cp,Healthcare,Biotechnology,EQUITY,,https://www.arbutusbio.com,https://logo.clearbit.com/arbutusbio.com,NMS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation,us_market,,287905920,ABUS,NASDAQ
ABVC,Abvc Biopharma Inc,Healthcare,Biotechnology,EQUITY,,https://www.abvcpharma.com,https://logo.clearbit.com/abvcpharma.com,NCM,"ABVC Biopharma, Inc.","ABVC BioPharma, Inc.",us_market,,29809606,ABVC,NASDAQ
ACAB,Atlantic Coastal Acquisition Corp II Cl,Financial Services,Shell Companies,EQUITY,,https://www.atlanticcoastalacquisition.com,https://logo.clearbit.com/atlanticcoastalacquisition.com,NGM,Atlantic Coastal Acquisition Co,Atlantic Coastal Acquisition Corp. II,us_market,,375000000,ACAB,NASDAQ
ACABU,Atlantic Coastal Acquisition Corp II,Financial Services,Shell Companies,EQUITY,,https://www.atlanticcoastalacquisition.com,https://logo.clearbit.com/atlanticcoastalacquisition.com,NGM,Atlantic Coastal Acquisition Co,Atlantic Coastal Acquisition Corp. II,us_market,,,ACABU,NASDAQ
ACABW,Atlantic Coastal Acquisition Corp II WT,Financial Services,Shell Companies,EQUITY,,https://www.atlanticcoastalacquisition.com,https://logo.clearbit.com/atlanticcoastalacquisition.com,NMS,Atlantic Coastal Acquisition Co,Atlantic Coastal Acquisition Corp. II,us_market,,,ACABW,NASDAQ
ACAC,Acri Capital Acquisition Corporation Cl,Financial Services,Shell Companies,EQUITY,,,,NGM,Acri Capital Acquisition Corpor,Acri Capital Acquisition Corporation,us_market,,107488568,ACAC,NASDAQ
ACACU,Acri Capital Acquisition Corp,Financial Services,Shell Companies,EQUITY,,,,NGM,Acri Capital Acquisition Corpor,Acri Capital Acquisition Corporation,us_market,,,ACACU,NASDAQ
ACACW,Acri Capital Acquisition Corporation WT,Financial Services,Shell Companies,EQUITY,,,,NGM,,Acri Capital Acquisition Corporation,us_market,,,ACACW,NASDAQ
ACAD,Acadia Pharmaceutica,Healthcare,Biotechnology,EQUITY,,https://www.acadia-pharm.com,https://logo.clearbit.com/acadia-pharm.com,NMS,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,us_market,,2710870272,ACAD,NASDAQ
ACAH,Atlantic Coastal Acquisition Corp Cl A,Financial Services,Shell Companies,EQUITY,,https://atlanticcoastalacquisition.com,https://logo.clearbit.com/atlanticcoastalacquisition.com,NCM,Atlantic Coastal Acquisition Co,Atlantic Coastal Acquisition Corp.,us_market,,423487488,ACAH,NASDAQ
ACAHU,Atlantic Coastal Acquisition Corp,Financial Services,Shell Companies,EQUITY,,https://atlanticcoastalacquisition.com,https://logo.clearbit.com/atlanticcoastalacquisition.com,NCM,Atlantic Coastal Acquisition Co,Atlantic Coastal Acquisition Corp.,us_market,,,ACAHU,NASDAQ
ACAHW,Atlantic Coastal Acquisition Corp WT,,,EQUITY,,,,NCM,Atlantic Coastal Acquisition Corp. Warrant,Atlantic Coastal Acquisition Corp.,us_market,,,ACAHW,NASDAQ
ACAX,Alset Capital Acquisition Cl A,Financial Services,Shell Companies,EQUITY,,,,NGM,Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,us_market,,111199400,ACAX,NASDAQ
ACAXR,Alset Capital Acquisition Right,,,EQUITY,,,,NGM,Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,us_market,,,ACAXR,NASDAQ
ACAXU,Alset Capital Acquisition Corp,Financial Services,Shell Companies,EQUITY,,,,NGM,Alset Capital Acquisition Corp.,Alset Capital Acquisition Corp.,us_market,,,ACAXU,NASDAQ
