Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
A,Agilent Technologies,Healthcare,Diagnostics & Research,EQUITY,,https://www.agilent.com,https://logo.clearbit.com/agilent.com,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",us_market,,36538859520,A,NYSE
AA,Alcoa Corp,Basic Materials,Aluminum,EQUITY,,https://www.alcoa.com,https://logo.clearbit.com/alcoa.com,NYQ,Alcoa Corporation,Alcoa Corporation,us_market,,6264988160,AA,NYSE
AAC,Ares Acquisition Corp Cl A,Financial Services,Shell Companies,EQUITY,,https://www.aresacquisitioncorporation.com,https://logo.clearbit.com/aresacquisitioncorporation.com,NYQ,Ares Acquisition Corporation,Ares Acquisition Corporation,us_market,,1240000000,AAC,NYSE
AAC.U,Ares Acquisition Corp Units,,,,,,,,,,,,,AAC.U,NYSE
AAC.W,Ares Acquisition Corp WT,,,,,,,,,,,,,AAC.W,NYSE
AAI-B,Arlington Asset Investment Corp,,,,,,,,,,,,,AAI-B,NYSE
AAI-C,Arlington Asset Investment Corp,,,,,,,,,,,,,AAI-C,NYSE
AAIC,Arlington Asset Investment Corp,Real Estate,REIT—Mortgage,EQUITY,,https://www.arlingtonasset.com,https://logo.clearbit.com/arlingtonasset.com,NYQ,Arlington Asset Investment Corp,Arlington Asset Investment Corp.,us_market,,79450248,AAIC,NYSE
AAIN,Arlington Asset Investment Corp 6.000%,,,EQUITY,,,,NYQ,Arlington Asset Investment Corp,,us_market,,,AAIN,NYSE
AAM-A,Apollo Asset Management Inc [Aam/Pa],,,,,,,,,,,,,AAM-A,NYSE
AAM-B,Apollo Asset Management Inc [Aam/Pb],,,,,,,,,,,,,AAM-B,NYSE
AAN,Aarons Holdings Company,Industrials,Rental & Leasing Services,EQUITY,,https://www.aarons.com,https://logo.clearbit.com/aarons.com,NYQ,"Aarons Holdings Company, Inc.","The Aaron's Company, Inc.",us_market,,331777120,AAN,NYSE
AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,EQUITY,,https://www.advanceautoparts.com,https://logo.clearbit.com/advanceautoparts.com,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",us_market,,9758987264,AAP,NYSE
AAQ.U,Accelerate Acquisition Corp [Aaqc.U],,,,,,,,,,,,,AAQ.U,NYSE
AAQ.W,Accelerate Acquisition Corp WT [Aaqc/W],,,,,,,,,,,,,AAQ.W,NYSE
AAQC,Accelerate Acquisition Corp Cl A,Financial Services,Shell Companies,EQUITY,,https://www.xlr8ac.com,https://logo.clearbit.com/xlr8ac.com,NYQ,Accelerate Acquisition Corp.,Accelerate Acquisition Corp.,us_market,,491000000,AAQC,NYSE
AAT,American Assets Trust,Real Estate,REIT—Diversified,EQUITY,,https://www.americanassetstrust.com,https://logo.clearbit.com/americanassetstrust.com,NYQ,"American Assets Trust, Inc.","American Assets Trust, Inc.",us_market,,1943440128,AAT,NYSE
