Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
AAB,Aberdeen International Inc,Financial Services,Asset Management,EQUITY,,https://www.aberdeen.green,https://logo.clearbit.com/aberdeen.green,TOR,ABERDEEN INTERNATIONAL INC.,Aberdeen International Inc.,ca_market,,10141389,AAB.TO,TSX
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas E&P,EQUITY,,https://www.advantageog.com,https://logo.clearbit.com/advantageog.com,TOR,ADVANTAGE ENERGY LTD,Advantage Energy Ltd.,ca_market,,1822630016,AAV.TO,TSX
ABCT,ABC Technologies Holdings Inc,Consumer Cyclical,Auto Parts,EQUITY,,https://abctechnologies.com,https://logo.clearbit.com/abctechnologies.com,TOR,ABC TECHNOLOGIES HOLDINGS INC,ABC Technologies Holdings Inc.,ca_market,,450762016,ABCT.TO,TSX
ABST,Absolute Software Corp,Technology,Software—Application,EQUITY,,https://www.absolute.com,https://logo.clearbit.com/absolute.com,TOR,ABSOLUTE SOFTWARE CORPORATION,Absolute Software Corporation,ca_market,,742789120,ABST.TO,TSX
ABTC,Accelerate Carbon Negative Bitcoin ETF,,,ETF,,,,TOR,ACCELERATE CARBON NEGATIVE BITC,Accelerate Carbon-Negative Bitcoin ETF,ca_market,Accelerate Financial Technologies Inc,,ABTC.TO,TSX
ABTC.U,Accelerate Carbon Neg Bitcoin ETF USD,,,,,,,,,,,,,ABTC.U.TO,TSX
ABX,Barrick Gold Corp,Basic Materials,Gold,EQUITY,,https://www.barrick.com,https://logo.clearbit.com/barrick.com,TOR,BARRICK GOLD CORPORATION,Barrick Gold Corporation,ca_market,,34738040832,ABX.TO,TSX
AC,Air Canada,Industrials,Airlines,EQUITY,,https://www.aircanada.com,https://logo.clearbit.com/aircanada.com,TOR,AIR CANADA,Air Canada,ca_market,,6260860416,AC.TO,TSX
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.auroramj.com,https://logo.clearbit.com/auroramj.com,TOR,AURORA CANNABIS INC,Aurora Cannabis Inc.,ca_market,,485368352,ACB.TO,TSX
ACB.WS.U,Aurora Cannabis Inc Ws USD,,,,,,,,,,,,,ACB.WS.U.TO,TSX
ACB.WT.V,Aurora Cannabis Inc WT V USD,,,,,,,,,,,,,ACB.WT.V.TO,TSX
ACD,Accord Financial,Financial Services,Credit Services,EQUITY,,https://www.accordfinancial.com,https://logo.clearbit.com/accordfinancial.com,TOR,ACCORD FINANCIAL,Accord Financial Corp.,ca_market,,70183064,ACD.TO,TSX
ACD.DB,Accord Financial Corp 7.00 Pct Debs,,,,,,,,,,,,,ACD.DB.TO,TSX
ACO.X,Atco Ltd Cl I NV,,,EQUITY,,,,,,ATCO Ltd.,,,,ACO.X.TO,TSX
ACO.Y,Atco Ltd Cl II,,,EQUITY,,,,,,ATCO Ltd.,,,,ACO.Y.TO,TSX
ACQ,Autocanada Inc,Consumer Cyclical,Auto & Truck Dealerships,EQUITY,,https://www.autocan.ca,https://logo.clearbit.com/autocan.ca,TOR,AUTOCANADA INC,AutoCanada Inc.,ca_market,,649192384,ACQ.TO,TSX
AD.DB,Alaris Royalty Corp 5.50 Pct Debs,,,,,,,,,,,,,AD.DB.TO,TSX
AD.DB.A,Alaris Eqty Part Inc Trust 6.25 Pct Debs,,,,,,,,,,,,,AD.DB.A.TO,TSX
AD.UN,Alaris Equity Partners Income Trust,,,,,,,,,,,,,AD.UN.TO,TSX
ADCO,Adcore Inc,Technology,Software—Application,EQUITY,,https://www.adcore.com,https://logo.clearbit.com/adcore.com,TOR,ADCORE INC,Adcore Inc.,ca_market,,18465240,ADCO.TO,TSX
ADN,Acadian Timber Corp,Basic Materials,Lumber & Wood Production,EQUITY,,https://www.acadiantimber.com,https://logo.clearbit.com/acadiantimber.com,TOR,ACADIAN TIMBER CORP,Acadian Timber Corp.,ca_market,,275468416,ADN.TO,TSX
ADW.A,Andrew Peller Ltd Cl A,,,,,,,,,,,,,ADW.A.TO,TSX
ADW.B,Andrew Peller Ltd Cl B,,,,,,,,,,,,,ADW.B.TO,TSX
AEG,Aegis Brands Inc,Consumer Cyclical,Restaurants,EQUITY,,https://www.aegisbrands.ca,https://logo.clearbit.com/aegisbrands.ca,TOR,AEGIS BRANDS INC,Aegis Brands Inc.,ca_market,,8827476,AEG.TO,TSX
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,EQUITY,,https://www.agnicoeagle.com,https://logo.clearbit.com/agnicoeagle.com,TOR,AGNICO EAGLE MINES LIMITED,Agnico Eagle Mines Limited,ca_market,,24197148672,AEM.TO,TSX
AEZS,Aeterna Zentaris Inc,Healthcare,Biotechnology,EQUITY,,https://www.zentaris.com,https://logo.clearbit.com/zentaris.com,TOR,AETERNA ZENTARIS INC,Aeterna Zentaris Inc.,ca_market,,25881840,AEZS.TO,TSX
AFN,Ag Growth International Inc,Industrials,Farm & Heavy Construction Machinery,EQUITY,,https://www.aggrowth.com,https://logo.clearbit.com/aggrowth.com,TOR,AG GROWTH INTERNATIONAL INC.,Ag Growth International Inc.,ca_market,,626180352,AFN.TO,TSX
AFN.DB.F,Ag Growth Intl Inc 5.4 Pct Debs,,,,,,,,,,,,,AFN.DB.F.TO,TSX
AFN.DB.G,Ag Growth Intl Inc 5.25 Pct Debs,,,,,,,,,,,,,AFN.DB.G.TO,TSX
