Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
A,Armor Minerals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.armorminerals.com,https://logo.clearbit.com/armorminerals.com,VAN,ARMOR MINERALS INC,Armor Minerals Inc.,ca_market,,36779808,A.V,TSXV
AAC.P,Anacott Acquisition Corporation,,,,,,,,,,,,,AAC.P.V,TSXV
AAG,Aftermath Silver Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://aftermathsilver.com,https://logo.clearbit.com/aftermathsilver.com,VAN,AFTERMATH SILVER LTD,Aftermath Silver Ltd.,ca_market,,21012420,AAG.V,TSXV
AALI,Advance Lithium Corp,Basic Materials,Gold,EQUITY,,https://advancelithiumcorp.com,https://logo.clearbit.com/advancelithiumcorp.com,VAN,ADVANCE LITHIUM CORP,Advance Lithium Corp.,ca_market,,1053247,AALI.V,TSXV
AAN,Aton Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.atonresources.com,https://logo.clearbit.com/atonresources.com,VAN,ATON RESOURCES INC,Aton Resources Inc.,ca_market,,7178451,AAN.V,TSXV
AAT,Ati Airtest Technologies Inc,Industrials,Specialty Industrial Machinery,EQUITY,,https://www.airtest.com,https://logo.clearbit.com/airtest.com,VAN,ATI AIRTEST TECHNOLOGIES INC,ATI Airtest Technologies Inc.,ca_market,,2468315,AAT.V,TSXV
AAU,Angold Resources Ltd,Basic Materials,Gold,EQUITY,,https://www.angoldresources.com,https://logo.clearbit.com/angoldresources.com,VAN,ANGOLD RESOURCES LTD,Angold Resources Ltd.,ca_market,,7492520,AAU.V,TSXV
AAZ,Azincourt Energy Corp,Energy,Uranium,EQUITY,,https://www.azincourtenergy.com,https://logo.clearbit.com/azincourtenergy.com,VAN,AZINCOURT ENERGY CORP,Azincourt Energy Corp.,ca_market,,23842950,AAZ.V,TSXV
ABI,Abcourt Mines Inc,Basic Materials,Gold,EQUITY,,https://www.abcourt.com,https://logo.clearbit.com/abcourt.com,VAN,Abcourt Mines Inc.,Abcourt Mines Inc.,ca_market,,12461560,ABI.V,TSXV
ABN,Aben Resources Ltd,Basic Materials,Gold,EQUITY,,https://www.abenresources.com,https://logo.clearbit.com/abenresources.com,VAN,ABEN RESOURCES LTD.,Aben Resources Ltd.,ca_market,,3273350,ABN.V,TSXV
ABR,Arbor Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.arbormetalscorp.com,https://logo.clearbit.com/arbormetalscorp.com,VAN,ARBOR METALS CORP,Arbor Metals Corp.,ca_market,,122568248,ABR.V,TSXV
ABRA,Abrasilver Resource Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.abrasilver.com,https://logo.clearbit.com/abrasilver.com,VAN,ABRASILVER RESOURCE CORP,AbraSilver Resource Corp.,ca_market,,149091152,ABRA.V,TSXV
ABZ,Asiabasemetals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.asiabasemetals.com,https://logo.clearbit.com/asiabasemetals.com,VAN,ASIABASEMETALS INC.,AsiaBaseMetals Inc.,ca_market,,5635087,ABZ.V,TSXV
ACCB.P,Aardvark 2 Capital Corp,,,,,,,,,,,,,ACCB.P.V,TSXV
ACI.H,Amilot Capital Inc,,,,,,,,,,,,,ACI.H.V,TSXV
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,EQUITY,,https://www.alphacognition.com,https://logo.clearbit.com/alphacognition.com,VAN,ALPHA COGNITION INC,Alpha Cognition Inc.,ca_market,,31363164,ACOG.V,TSXV
ACOP,Atacama Copper Corporation,Basic Materials,Copper,EQUITY,,https://atacamacopper.ca,https://logo.clearbit.com/atacamacopper.ca,VAN,ATACAMA COPPER CORPORATION,Atacama Copper Corporation,ca_market,,5843444,ACOP.V,TSXV
ACP,Arcpacific Resources Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.arcpacific.ca,https://logo.clearbit.com/arcpacific.ca,VAN,ARCPACIFIC RESOURCES CORP,ArcPacific Resources Corp.,ca_market,,2520928,ACP.V,TSXV
ACR.H,Auscan Resources Inc,,,,,,,,,,,,,ACR.H.V,TSXV
ACS,Archon Minerals Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,,,VAN,ARCHON MINERALS LIMITED,Archon Minerals Limited,ca_market,,13060032,ACS.V,TSXV
