Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
REI.UN,Riocan Real Est Un,Real Estate,REIT—Retail,EQUITY,,https://www.riocan.com,https://logo.clearbit.com/riocan.com,TOR,RIOCAN REAL EST UN,RioCan Real Estate Investment Trust,ca_market,,6215541760,REI-UN.TO,TSX
REIT,Powershares Sptsx REIT Income Idx ETF,,,ETF,,,,TOR,INVESCO SPTSX REIT INCOME IDX E,Invesco S&P/TSX REIT Income Index ETF,ca_market,Invesco Canada Ltd,,REIT.TO,TSX
REUN,Reunion Neuroscience Inc,,,EQUITY,,,,TOR,REUNION NEUROSCIENCE INC,,ca_market,,,REUN.TO,TSX
RFP,Resolute Forest Products Inc,Basic Materials,Paper & Paper Products,EQUITY,,https://www.resolutefp.com,https://logo.clearbit.com/resolutefp.com,TOR,RESOLUTE FOREST PRODUCTS INC,Resolute Forest Products Inc.,ca_market,,2219718400,RFP.TO,TSX
RIB.UN,Ridgewood CAD Invest Grade Bond Fund,,,EQUITY,,,,TOR,RIDGEWOOD CAD INVEST GRADE BOND,Ridgewood Canadian Investment Grade Bond Fund,ca_market,,,RIB-UN.TO,TSX
RID,RBC Quant EAFE Div Leaders ETF,,,ETF,,,,TOR,RBC QUANT EAFE DIV LEADERS ETF,RBC Quant EAFE Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RID.TO,TSX
RID.U,RBC Quant EAFE Div Leaders USD ETF,,,ETF,,,,TOR,"RBC QUANT EAFE DIV LEADERS USD ",RBC Quant EAFE Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RID-U.TO,TSX
RIDH,RBC Quant EAFE Div Leaders ETF,,,ETF,,,,TOR,RBC QUANT EAFE DIV LEADERS ETF,RBC Quant EAFE Dividend Leaders (CAD Hedged) ETF,ca_market,RBC Global Asset Management Inc.,,RIDH.TO,TSX
RIE,RBC Quant EAFE Equity Leaders ETF,,,ETF,,,,TOR,RBC QUANT EAFE EQUITY LEADERS E,RBC Quant EAFE Equity Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RIE.TO,TSX
RIE.U,RBC Quant EAFE Equity Leaders ETF USD,,,ETF,,,,TOR,RBC QUANT EAFE EQUITY LEADERS E,RBC Quant EAFE Equity Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RIE-U.TO,TSX
RIFI,Russell Invt Fixed Income Pool ETF,,,ETF,,,,TOR,"RUSSELL INVT FIXED INCOME POOL ",Russell Investments Fixed Income Pool,ca_market,Russell Investments Canada Limited,,RIFI.TO,TSX
RIIN,Russell Invt Global Infr Pool ETF,,,ETF,,,,TOR,RUSSELL INVT GLBL INFR POOL ETF,Russell Investments Global Infrastructure Pool,ca_market,Russell Investments Canada Limited,,RIIN.TO,TSX
RIRA,Russell Invt Real Assets ETF,,,ETF,,,,TOR,RUSSELL INVT REAL ASSETS ETF,Russell Investments Real Assets,ca_market,Russell Investments Canada Limited,,RIRA.TO,TSX
RIT,CI First Asset Canadian REIT ETF,,,ETF,,,,TOR,CI CANADIAN REIT ETF,CI Canadian REIT ETF,ca_market,CI Investments Inc,,RIT.TO,TSX
RLB,RBC 1 To 5 Year Laddered Can Bond ETF,,,ETF,,,,TOR,RBC 1 TO 5 YEAR LADDERED CAN BO,RBC 1-5 Year Laddered Canadian Bond ETF,ca_market,RBC Global Asset Management Inc.,,RLB.TO,TSX
RNW,Transalta Renewables Inc,Utilities,Utilities—Renewable,EQUITY,,https://www.transaltarenewables.com,https://logo.clearbit.com/transaltarenewables.com,TOR,TRANSALTA RENEWABLES INC,TransAlta Renewables Inc.,ca_market,,3907416064,RNW.TO,TSX
ROOT,Roots Corp,Consumer Cyclical,Apparel Retail,EQUITY,,https://www.roots.com,https://logo.clearbit.com/roots.com,TOR,ROOTS CORPORATION,Roots Corporation,ca_market,,117901496,ROOT.TO,TSX
RPD,RBC Quant European Div Leaders ETF,,,ETF,,,,TOR,"RBC QUANT EUROPEAN DIV LEADERS ",RBC Quant European Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RPD.TO,TSX
RPD.U,RBC Quant European Div Leaders ETF USD,,,ETF,,,,TOR,"RBC QUANT EUROPEAN DIV LEADERS ",RBC Quant European Dividend Leaders ETF,ca_market,RBC Global Asset Management Inc.,,RPD-U.TO,TSX
