Symbol,Name,YahooTicker,Url
AW.UN,A and W Revenue Royalties Income Fund ,AW-UN.TO,https://www.advfn.com/stock-market/TSX/AW.UN/stock-price
AAB,Aberdeen International Inc ,AAB.TO,https://www.advfn.com/stock-market/TSX/AAB/stock-price
FAP,Abrdn Asia Pacific Income Fund VCC ,FAP.TO,https://www.advfn.com/stock-market/TSX/FAP/stock-price
ADN,Acadian Timber Corp ,ADN.TO,https://www.advfn.com/stock-market/TSX/ADN/stock-price
ACD,Accord Financial Corporation ,ACD.TO,https://www.advfn.com/stock-market/TSX/ACD/stock-price
ARA,Aclara Resources Inc ,ARA.TO,https://www.advfn.com/stock-market/TSX/ARA/stock-price
ADCO,Adcore Inc ,ADCO.TO,https://www.advfn.com/stock-market/TSX/ADCO/stock-price
ADEN,Adentra Inc ,ADEN.TO,https://www.advfn.com/stock-market/TSX/ADEN/stock-price
DRX,ADF Group Inc ,DRX.TO,https://www.advfn.com/stock-market/TSX/DRX/stock-price
AAV,Advantage Energy Ltd ,AAV.TO,https://www.advfn.com/stock-market/TSX/AAV/stock-price
ARE,Aecon Group Inc ,ARE.TO,https://www.advfn.com/stock-market/TSX/ARE/stock-price
AEG,Aegis Brands Inc ,AEG.TO,https://www.advfn.com/stock-market/TSX/AEG/stock-price
AEZS,Aeterna Zentaris Inc ,AEZS.TO,https://www.advfn.com/stock-market/TSX/AEZS/stock-price
AOI,Africa Oil Corp ,AOI.TO,https://www.advfn.com/stock-market/TSX/AOI/stock-price
AFN,Ag Growth International Inc ,AFN.TO,https://www.advfn.com/stock-market/TSX/AFN/stock-price
AGF.B,AGF Management Ltd ,AGF-B.TO,https://www.advfn.com/stock-market/TSX/AGF.B/stock-price
AEM,Agnico Eagle Mines Limited ,AEM.TO,https://www.advfn.com/stock-market/TSX/AEM/stock-price
AGRI.U,Agrinam Acquisition Corporation ,AGRI-U.TO,https://www.advfn.com/stock-market/TSX/AGRI.U/stock-price
AIM,Aimia Inc ,AIM.TO,https://www.advfn.com/stock-market/TSX/AIM/stock-price
AC,Air Canada ,AC.TO,https://www.advfn.com/stock-market/TSX/AC/stock-price
BOS,AirBoss of America Corp ,BOS.TO,https://www.advfn.com/stock-market/TSX/BOS/stock-price
AKT.B,Akita Drilling Ltd ,AKT-B.TO,https://www.advfn.com/stock-market/TSX/AKT.B/stock-price
AKT.A,Akita Drilling Ltd ,AKT-A.TO,https://www.advfn.com/stock-market/TSX/AKT.A/stock-price
AKU,Akumin Inc ,AKU.TO,https://www.advfn.com/stock-market/TSX/AKU/stock-price
AGI,Alamos Gold Inc ,AGI.TO,https://www.advfn.com/stock-market/TSX/AGI/stock-price
AD.UN,Alaris Equity Partners Income Trust ,AD-UN.TO,https://www.advfn.com/stock-market/TSX/AD.UN/stock-price
ALC,Algoma Central Corp ,ALC.TO,https://www.advfn.com/stock-market/TSX/ALC/stock-price
ASTL,Algoma Steel Group Inc ,ASTL.TO,https://www.advfn.com/stock-market/TSX/ASTL/stock-price
AQN,Algonquin Power and Utilities Corp ,AQN.TO,https://www.advfn.com/stock-market/TSX/AQN/stock-price
ATD,Alimentation Couche Tard Inc ,ATD.TO,https://www.advfn.com/stock-market/TSX/ATD/stock-price
ALYA,Alithya Group Inc ,ALYA.TO,https://www.advfn.com/stock-market/TSX/ALYA/stock-price
AAUC,Allied Gold Corporation ,AAUC.TO,https://www.advfn.com/stock-market/TSX/AAUC/stock-price
AP.UN,Allied Properties Real Estate Investment Trust ,AP-UN.TO,https://www.advfn.com/stock-market/TSX/AP.UN/stock-price
AMM,Almaden Minerals Ltd New ,AMM.TO,https://www.advfn.com/stock-market/TSX/AMM/stock-price
AII,Almonty Industries Inc ,AII.TO,https://www.advfn.com/stock-market/TSX/AII/stock-price
ATCU,Alta Copper Corp ,ATCU.TO,https://www.advfn.com/stock-market/TSX/ATCU/stock-price
ALA,AltaGas Ltd ,ALA.TO,https://www.advfn.com/stock-market/TSX/ALA/stock-price
ALS,Altius Minerals Corporation ,ALS.TO,https://www.advfn.com/stock-market/TSX/ALS/stock-price
ARR,Altius Renewable Royalities Corp ,ARR.TO,https://www.advfn.com/stock-market/TSX/ARR/stock-price
AIF,Altus Group Limited ,AIF.TO,https://www.advfn.com/stock-market/TSX/AIF/stock-price
HOT.U,American Hotel Income Properties REIT LP ,HOT-U.TO,https://www.advfn.com/stock-market/TSX/HOT.U/stock-price
HOT.UN,American Hotel Income Properties REIT LP ,HOT-UN.TO,https://www.advfn.com/stock-market/TSX/HOT.UN/stock-price
USA,Americas Gold and Silver Corporation ,USA.TO,https://www.advfn.com/stock-market/TSX/USA/stock-price
ARG,Amerigo Resources Ltd ,ARG.TO,https://www.advfn.com/stock-market/TSX/ARG/stock-price
ANRG,Anaergia Inc ,ANRG.TO,https://www.advfn.com/stock-market/TSX/ANRG/stock-price
AND,Andlauer Heathcare Group Inc ,AND.TO,https://www.advfn.com/stock-market/TSX/AND/stock-price
ADW.A,Andrew Peller Ltd ,ADW-A.TO,https://www.advfn.com/stock-market/TSX/ADW.A/stock-price
ADW.B,Andrew Peller Ltd ,ADW-B.TO,https://www.advfn.com/stock-market/TSX/ADW.B/stock-price
APLI,Appili Therapeutics Inc ,APLI.TO,https://www.advfn.com/stock-market/TSX/APLI/stock-price
APS,Aptose Biosciences Inc ,APS.TO,https://www.advfn.com/stock-market/TSX/APS/stock-price
ARX,ARC Resources Ltd ,ARX.TO,https://www.advfn.com/stock-market/TSX/ARX/stock-price
AR,Argonaut Gold Inc ,AR.TO,https://www.advfn.com/stock-market/TSX/AR/stock-price
ARIS,Aris Gold Corp ,ARIS.TO,https://www.advfn.com/stock-market/TSX/ARIS/stock-price
ATZ,Aritzia Inc ,ATZ.TO,https://www.advfn.com/stock-market/TSX/ATZ/stock-price
AMC,Arizona Metals Corp ,AMC.TO,https://www.advfn.com/stock-market/TSX/AMC/stock-price
ASCU,Arizona Sonoran Copper Company Inc ,ASCU.TO,https://www.advfn.com/stock-market/TSX/ASCU/stock-price
AX.UN,Artis Real Estate Investment Trust ,AX-UN.TO,https://www.advfn.com/stock-market/TSX/AX.UN/stock-price
ASND,Ascendant Resources Inc ,ASND.TO,https://www.advfn.com/stock-market/TSX/ASND/stock-price
AOT,Ascot Resources Ltd ,AOT.TO,https://www.advfn.com/stock-market/TSX/AOT/stock-price
ACO.Y,ATCO Ltd ,ACO-Y.TO,https://www.advfn.com/stock-market/TSX/ACO.Y/stock-price
ACO.X,ATCO Ltd ,ACO-X.TO,https://www.advfn.com/stock-market/TSX/ACO.X/stock-price
ATH,Athabasca Oil Corporation ,ATH.TO,https://www.advfn.com/stock-market/TSX/ATH/stock-price
AI,Atrium Mortgage Investment Corporation ,AI.TO,https://www.advfn.com/stock-market/TSX/AI/stock-price
ATS,ATS Corporation ,ATS.TO,https://www.advfn.com/stock-market/TSX/ATS/stock-price
G,Augusta Gold Corp ,G.TO,https://www.advfn.com/stock-market/TSX/G/stock-price
ORA,Aura Minerals Inc ,ORA.TO,https://www.advfn.com/stock-market/TSX/ORA/stock-price
ACB,Aurora Cannabis Inc ,ACB.TO,https://www.advfn.com/stock-market/TSX/ACB/stock-price
HRR.UN,Australian REIT Income Fund ,HRR-UN.TO,https://www.advfn.com/stock-market/TSX/HRR.UN/stock-price
ACQ,AutoCanada Inc ,ACQ.TO,https://www.advfn.com/stock-market/TSX/ACQ/stock-price
APR.UN,Automotive Properties Real Estate Investment Trust ,APR-UN.TO,https://www.advfn.com/stock-market/TSX/APR.UN/stock-price
XLY,Auxly Cannabis Group Inc ,XLY.TO,https://www.advfn.com/stock-market/TSX/XLY/stock-price
